Country,Impressions,Gender
Canada,2100000,male results
United Kingdom,4900000,male results
United States,39000000,male results
Canada,5800000,female results
United Kingdom,7800000,female results
United States,74000000,female results
Canada,8000000,female and male results
United Kingdom,13000000,female and male results
United States,110000000,female and male results
Canada,300000,unknown gender
United Kingdom,520000,unknown gender
United States,4800000,unknown gender
