Country,Impressions,Status
Canada,33000000,Parent results
United Kingdom,180000000,Parent results
United States,490000000,Parent results
Canada,150000000,Not Parent results
United Kingdom,710000000,Not Parent results
United States,1100000000,Not Parent results
Canada,220000000,unknown parent results
United Kingdom,810000000,unknown parent results
United States,1500000000,unknown parent results
