Country,Impressions,Gender
Canada,99000000,male results
United Kingdom,550000000,male results
United States,890000000,male results
Canada,77000000,female results
United Kingdom,350000000,female results
United States,620000000,female results
Canada,180000000,female and male results
United Kingdom,900000000,female and male results
United States,1500000000,female and male results
Canada,220000000,unknown gender
United Kingdom,800000000,unknown gender
United States,1600000000,unknown gender
