Country,Impressions,Gender
Canada,1000000000,male results
United Kingdom,1300000000,male results
United States,11000000000,male results
Canada,860000000,female results
United Kingdom,870000000,female results
United States,9100000000,female results
Canada,1900000000,female and male results
United Kingdom,2200000000,female and male results
United States,20000000000,female and male results
Canada,3400000000,unknown gender
United Kingdom,4300000000,unknown gender
United States,33000000000,unknown gender
