Country,Impressions,Gender
Canada,87000000,male results
United Kingdom,220000000,male results
United States,1500000000,male results
Canada,220000000,female results
United Kingdom,430000000,female results
United States,3800000000,female results
Canada,310000000,female and male results
United Kingdom,640000000,female and male results
United States,5300000000,female and male results
Canada,390000000,unknown gender
United Kingdom,830000000,unknown gender
United States,5700000000,unknown gender
