Country,Impressions,Gender
Canada,7000,male results
United Kingdom,20000,male results
United States,140000,male results
Canada,110000,female results
United Kingdom,3000,female results
United States,150000,female results
Canada,110000,female and male results
United Kingdom,20000,female and male results
United States,290000,female and male results
Canada,40,unknown gender
United Kingdom,0,unknown gender
United States,8000,unknown gender
