Country,Impressions,Status
Canada,110000000,Parent results
United Kingdom,260000000,Parent results
United States,1300000000,Parent results
Canada,380000000,Not Parent results
United Kingdom,740000000,Not Parent results
United States,2800000000,Not Parent results
Canada,500000000,unknown parent results
United Kingdom,1100000000,unknown parent results
United States,5400000000,unknown parent results
