Country,Impressions,Gender
Canada,320000000,male results
United Kingdom,670000000,male results
United States,2500000000,male results
Canada,150000000,female results
United Kingdom,300000000,female results
United States,1400000000,female results
Canada,470000000,female and male results
United Kingdom,960000000,female and male results
United States,3900000000,female and male results
Canada,530000000,unknown gender
United Kingdom,1100000000,unknown gender
United States,5500000000,unknown gender
