Country,Impressions,Gender
Canada,450000000,male results
United Kingdom,1600000000,male results
United States,4000000000,male results
Canada,340000000,female results
United Kingdom,950000000,female results
United States,2900000000,female results
Canada,800000000,female and male results
United Kingdom,2500000000,female and male results
United States,6900000000,female and male results
Canada,660000000,unknown gender
United Kingdom,1600000000,unknown gender
United States,6600000000,unknown gender
