Country,Impressions,Gender
Canada,1600000000,male results
United Kingdom,2200000000,male results
United States,11000000000,male results
Canada,1500000000,female results
United Kingdom,1700000000,female results
United States,10000000000,female results
Canada,3100000000,female and male results
United Kingdom,3900000000,female and male results
United States,22000000000,female and male results
Canada,3500000000,unknown gender
United Kingdom,4900000000,unknown gender
United States,32000000000,unknown gender
,,
