Country,Impressions,Gender
Canada,5000000,male results
United Kingdom,11000000,male results
United States,57000000,male results
Canada,2100000,female results
United Kingdom,7300000,female results
United States,35000000,female results
Canada,7000000,female and male results
United Kingdom,19000000,female and male results
United States,91000000,female and male results
Canada,220000,unknown gender
United Kingdom,440000,unknown gender
United States,3700000,unknown gender
