Country,Impressions,Gender
Canada,320000000,male results
United Kingdom,430000000,male results
United States,3500000000,male results
Canada,430000000,female results
United Kingdom,500000000,female results
United States,4100000000,female results
Canada,750000000,female and male results
United Kingdom,940000000,female and male results
United States,7600000000,female and male results
Canada,640000000,unknown gender
United Kingdom,650000000,unknown gender
United States,7500000000,unknown gender
