Country,Impressions,Gender
Canada,420000000,male results
United Kingdom,530000000,male results
United States,3900000000,male results
Canada,530000000,female results
United Kingdom,620000000,female results
United States,5300000000,female results
Canada,960000000,female and male results
United Kingdom,1200000000,female and male results
United States,9200000000,female and male results
Canada,860000000,unknown gender
United Kingdom,1000000000,unknown gender
United States,9200000000,unknown gender
