Country,Impressions,Status
Canada,610000000,Parent results
United Kingdom,410000000,Parent results
United States,7200000000,Parent results
Canada,1600000000,Not Parent results
United Kingdom,1200000000,Not Parent results
United States,12000000000,Not Parent results
Canada,2400000000,unknown parent results
United Kingdom,1300000000,unknown parent results
United States,17000000000,unknown parent results
