Country,Impressions,Gender
Canada,370000000,male results
United Kingdom,650000000,male results
United States,3700000000,male results
Canada,200000000,female results
United Kingdom,440000000,female results
United States,2000000000,female results
Canada,570000000,female and male results
United Kingdom,1100000000,female and male results
United States,5700000000,female and male results
Canada,830000000,unknown gender
United Kingdom,1400000000,unknown gender
United States,7600000000,unknown gender
