Country,Impressions,Gender
Canada,5400000,male results
United Kingdom,3600000,male results
United States,89000000,male results
Canada,5500000,female results
United Kingdom,9800000,female results
United States,150000000,female results
Canada,11000000,female and male results
United Kingdom,13000000,female and male results
United States,250000000,female and male results
Canada,560000,unknown gender
United Kingdom,270000,unknown gender
United States,20000000,unknown gender
