Country,Impressions,Gender
Canada,350000000,male results
United Kingdom,930000000,male results
United States,3700000000,male results
Canada,730000000,female results
United Kingdom,1500000000,female results
United States,7400000000,female results
Canada,1100000000,female and male results
United Kingdom,2400000000,female and male results
United States,11000000000,female and male results
Canada,1800000000,unknown gender
United Kingdom,4700000000,unknown gender
United States,20000000000,unknown gender
