Country,Impressions,Gender
Canada,280000000,male results
United Kingdom,330000000,male results
United States,2700000000,male results
Canada,280000000,female results
United Kingdom,310000000,female results
United States,3100000000,female results
Canada,550000000,female and male results
United Kingdom,640000000,female and male results
United States,5800000000,female and male results
Canada,360000000,unknown gender
United Kingdom,540000000,unknown gender
United States,4000000000,unknown gender
