Country,Impressions,Status
Canada,150000000,Parent results
United Kingdom,170000000,Parent results
United States,2300000000,Parent results
Canada,430000000,Not Parent results
United Kingdom,500000000,Not Parent results
United States,3800000000,Not Parent results
Canada,330000000,unknown parent results
United Kingdom,510000000,unknown parent results
United States,3700000000,unknown parent results
