Country,Impressions,Status
Canada,580000000,Parent results
United Kingdom,1200000000,Parent results
United States,6900000000,Parent results
Canada,1600000000,Not Parent results
United Kingdom,3300000000,Not Parent results
United States,14000000000,Not Parent results
Canada,3100000000,unknown parent results
United Kingdom,6100000000,unknown parent results
United States,25000000000,unknown parent results
