Country,Impressions,Gender
Canada,95000000,male results
United Kingdom,470000000,male results
United States,1500000000,male results
Canada,250000000,female results
United Kingdom,890000000,female results
United States,3300000000,female results
Canada,350000000,female and male results
United Kingdom,1400000000,female and male results
United States,4800000000,female and male results
Canada,400000000,unknown gender
United Kingdom,2000000000,unknown gender
United States,5300000000,unknown gender
