Country,Impressions,Gender
Canada,960000000,male results
United Kingdom,910000000,male results
United States,4600000000,male results
Canada,860000000,female results
United Kingdom,560000000,female results
United States,3300000000,female results
Canada,1800000000,female and male results
United Kingdom,1500000000,female and male results
United States,7900000000,female and male results
Canada,3100000000,unknown gender
United Kingdom,1500000000,unknown gender
United States,8600000000,unknown gender
